x	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_2B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_2B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_1B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_2B_NO20	MP_E52_1B_DY20	MP_E258_2B_NO20	MP_E54_2B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_2B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_2B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_2B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_2B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_2B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_1B_NO20	MP_E259_1B_NO20	MP_E53_2B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_2B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
ASV_11	0	17	27	37	464	140	814	17	96	324	0	653	239	136	96	408	32	351	55	81	474	129	431	70	15	0	11	131	34	100	55	7	31	283	157	665	43	28	10	106	544	268	239	187	245	310	0	345	2380	1881	219	670	48	2806	296	334	35	124	20	115	60	187	393	153	3125	54	0	524	445	402	1190	710	113	7	2275	721	88	195	157	477	114	936	57	230
ASV_12	184	34	580	249	83	1416	685	0	15	39	0	53	227	0	49	2	42	277	14	27	118	36	35	0	0	0	4	0	2529	1897	1420	12	1671	617	573	579	365	2161	1201	2527	755	1279	44	5	75	29	429	24	34	237	29	38	0	66	87	58	15	0	0	190	0	19	44	0	249	0	0	0	140	19	258	625	355	55	2033	436	23	129	24	1588	0	70	41	99
ASV_13	312	1002	300	616	0	209	231	1370	137	125	129	693	152	9	177	90	648	312	39	710	2150	4407	329	558	522	941	1253	295	33	16	7	6	797	905	133	438	376	447	1266	787	891	800	18	0	0	0	92	0	6	235	202	172	293	175	228	70	136	275	226	190	264	74	31	12	49	2	24	172	139	257	0	0	0	0	0	252	17	8	1	0	0	0	0	0
ASV_14	0	0	0	0	0	5	344	0	5	164	0	0	0	0	0	234	0	5	3	0	1348	0	26	0	0	0	0	0	2877	7184	8470	0	3266	97	0	0	0	466	0	698	0	0	0	0	0	0	0	0	46	0	0	571	0	399	0	221	0	0	24	0	22	0	165	0	0	0	0	44	0	0	105	93	0	12	250	25	3	0	0	150	9	0	0	0
ASV_15	0	0	0	0	0	0	0	20262	0	0	0	0	54	0	0	0	0	10	0	0	4	0	0	0	0	6263	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	27	180	550	248	422	123	185	0	0	145	46	561	123	382	96	187	0	211	0	65	543	31	105	124	76	15	21	192	57	133	59	7	166	74	17	30	0	26	100	170	0	47	38	767	1656	844	202	186	3750	778	49	567	67	1130	181	577	29	679	69	94	181	16	5814	440	909	437	347	277	452	168	38	50	32	0	228	46	7	0	0	24	0	0	0	0
ASV_17	93	522	602	541	1583	86	121	7	21	11	13	145	226	0	68	227	45	216	25	46	298	99	432	2	0	40	0	58	891	1806	565	47	2062	1192	142	207	106	318	417	1073	206	208	778	177	686	799	206	136	146	558	36	105	14	95	420	212	48	0	0	151	179	88	921	101	2556	113	0	106	64	260	38	38	93	15	35	485	98	97	50	206	184	216	19	6
ASV_18	0	0	0	8258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7371	6323	0	0	156	2408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	671	0	0	0	0	0	0	0	0	0	0	0
ASV_19	0	0	0	0	72	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5184	1970	1676	126	3062	2933	65	110	49	3022	25	1447	48	48	87	0	65	58	0	55	0	88	0	0	0	0	0	0	0	0	0	0	0	0	65	115	854	89	0	0	0	63	0	142	151	28	0	270	75	267	241	242	250	830	188	28
ASV_20	24	190	1437	889	223	2410	1960	73	0	253	138	448	55	84	211	40	13	107	24	343	1154	23	338	8	95	150	21	135	17	41	50	0	187	471	70	345	400	10	0	2081	24	154	7	124	168	62	423	85	89	1011	38	114	40	364	139	93	17	276	41	60	12	22	286	10	299	7	0	66	206	0	49	76	62	0	653	289	0	5	0	142	20	287	12	24
