x	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_2B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_2B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_1B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_2B_NO20	MP_E52_1B_DY20	MP_E258_2B_NO20	MP_E54_2B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_2B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_2B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_2B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_2B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_2B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_1B_NO20	MP_E259_1B_NO20	MP_E53_2B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_2B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
ASV_293	8	0	10	0	0	0	0	0	0	0	0	30	0	0	0	22	0	0	0	0	64	15	42	172	109	0	0	15	11	0	0	25	53	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	18	12	0	0	0	16	0	18	6	25	22	0	6	0	0	0	0	0	22	5	0	0	0	0	0	0	0	0	0
ASV_294	0	0	0	0	0	0	0	0	0	10	0	0	25	0	0	25	0	26	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	73	33	49	0	0	0	31	1	9	34	0	194	0	12	0	115	2	0	0	0	0	0	0	0	0	0	0	0	63	0	0
ASV_295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	92	205	0	278	0	0	0	0	41	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	5	0	0	10	0	0	0	0	0	4	0	0	0	0
ASV_296	0	20	93	79	0	89	0	0	0	4	0	0	81	0	0	0	0	28	0	0	0	0	5	0	0	0	2	0	0	0	0	0	17	7	0	0	0	0	0	35	0	0	0	0	0	0	37	0	0	0	0	0	0	0	103	6	0	0	0	55	0	0	6	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	292	0	0	0	0	0	12	10	0	0	0	4	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	94	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0
ASV_298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_299	0	28	85	77	0	0	167	28	0	0	0	41	16	18	3	0	0	41	0	0	0	0	0	0	1	12	0	11	0	0	0	0	19	15	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	6	0	21	3	2	37	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_300	0	0	0	0	0	0	9	0	0	0	0	0	4	1	0	0	3	6	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	3	4	11	15	2	19	0	5	0	0	0	0	71	0	0	0	17	0	43	29	9	8	109	0	0	0	0	57	10	146	0	17
ASV_301	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	47	145	163	0	73	0	0	0	0	33	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	30	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
ASV_302	8	0	17	0	0	0	0	58	0	18	18	18	13	0	0	9	0	14	0	0	71	0	18	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	128	2	14	26	0	16	0	5	0	5	0	0	0	0	0	6	0	3	94	5	57	0	0	0	0	0	16	0	0	0	0	0	0	0	0
ASV_303	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	14	0	0	0	0	0	25	61	15	0	0	0	0	28	0	12	0	32	15	0	23	0	0	16	0	42	55	7	0	15	15	0	0	0	0	8	0	29	0	4	10	0	0	0	0	0	6	0	0	0	113	0	0	8	0	0	0	0	20	37	6	22	0	0	11	0	0	11	24
ASV_304	0	0	0	0	0	0	0	0	0	0	41	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	69	10	0	0	0	0	40	0	0	29	466	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_305	0	0	0	0	0	0	0	0	6	0	0	0	0	0	78	0	32	0	0	0	0	27	0	0	0	4	0	0	0	0	0	0	0	0	0	106	48	0	58	0	129	97	0	0	0	0	0	0	0	0	29	0	0	0	5	0	33	0	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	5	0	0	0	0	0	0	2
ASV_306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	115	4	0	60	59	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	7	0	0	0	11	0	0	0	0
ASV_307	0	0	0	0	53	0	0	0	0	13	0	0	0	0	0	16	0	4	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	26	73	72	0	0	51	0	0	17	0	30	8	30	0	0	0	9	0	0	29	0	40	0	0	0	25	10	0	3	0	0	12	0	1	0	0	0	0	0	0	3
ASV_308	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	5	0	0	0	0	7	67	0	0	4	276	0	0	5	3	0	0	27	0	0	0	0	0	0	4	0	0	0	0	0	0	19	7	0	0	0	0	0	38	0	74	0	0	0	0	16	0	0	3	0	0	0	34	0	0	0	0	0	0	0	0	0
ASV_309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	12	16	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	11	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	34	50	0	0	0	0	0	0	0	0	0	0	21	2	1	0	0	87	255	1	0
ASV_310	16	0	0	0	0	47	61	20	0	0	3	168	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	38	0	37	0	26	0	0	0	0	54	0	9	0	0	0	0	0	0	177	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_311	0	13	13	0	0	0	7	0	0	32	0	1	36	0	4	0	0	98	0	0	11	0	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	29	43	7	16	64	0	1	0	0	0	44	0	0	0	0	57	5	3	56	2	0	0	56	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_312	0	31	0	31	0	0	0	0	0	0	0	0	15	0	6	23	0	33	0	0	0	0	8	0	0	0	0	21	0	12	8	0	26	21	2	8	0	0	0	13	0	0	0	0	0	3	8	0	24	12	3	0	7	33	43	31	0	10	0	41	10	2	126	20	12	0	0	0	12	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_313	0	0	2	0	0	0	14	0	0	17	4	23	0	0	0	7	0	7	0	1	333	3	116	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	17	2	13	0	24	0	13	0	3	6	8	23	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_314	0	0	0	3	8	0	0	0	0	0	12	0	0	0	0	13	0	0	17	0	43	0	63	7	18	0	0	0	0	0	0	0	0	0	0	0	0	3	4	16	0	0	14	7	9	0	0	0	0	34	0	0	33	5	0	0	3	0	6	0	0	40	84	19	30	28	15	0	1	8	0	1	0	11	81	0	5	0	0	8	0	7	0	0
ASV_315	0	38	11	31	0	0	0	0	0	139	0	126	0	0	0	0	0	0	0	0	49	0	0	53	0	25	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	82	41	0	0	15	0	20	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_316	0	0	0	0	0	0	29	0	5	28	10	0	0	0	0	35	0	0	0	0	0	0	13	0	0	0	0	0	21	29	52	0	64	0	0	0	0	20	0	0	0	0	40	0	24	10	0	0	0	24	12	47	9	17	18	36	0	0	27	13	33	15	0	0	0	0	5	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
ASV_317	0	0	1	0	0	12	0	2	8	41	0	0	0	1	0	126	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	10	0	4	57	0	49	8	57	0	38	0	0	0	0	46	0	35	0	7	30	4	0	11	0	0	0	5	0	0	0	0	0	0	13	0	2
ASV_318	40	144	115	117	0	45	27	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	31	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_319	0	0	0	0	0	0	0	0	7	18	62	56	0	8	0	0	60	4	8	0	0	0	0	0	0	77	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	174	0	0	0	0	10	94	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_320	0	0	30	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	103	102	0	41	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	66	0	0	0	0	0	0	114	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_322	0	0	0	0	11	0	0	0	0	0	0	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	6	30	23	0	89	0	65	0	0	0	0	0	0	13	0	0	8	18	0	0	0	0	0	0	74	72	0	0	0	0	0	144	0	0	0	0	4	0	16	0	6
ASV_323	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	10	0	16	9	26	19	6	54	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	25	0	0	0	0	0	0	4	83	0	5	2	0	0	43	0	8	23	6	9	4	27	27	0	0	9	0	10	1	0	49	0	0	2	2	20	0	15	0	4
ASV_324	8	31	55	57	0	58	17	20	0	21	5	10	0	16	0	13	0	0	0	0	97	0	25	25	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	27	0	0	9	17	0	32	0	5	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_325	0	0	0	0	0	0	343	0	0	0	0	19	0	0	0	19	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	28	4	0	118	0	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
ASV_326	0	0	0	0	0	0	0	0	0	11	2	0	10	0	0	114	0	21	1	0	11	0	42	0	0	0	0	6	0	1	3	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	38	0	0	16	1	50	20	59	0	0	7	4	0	2	77	0	38	12	0	45	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	48	13	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	122	47	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_328	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	15	118	0	0	0	11	6	0	0	0	0	24	0	0	0	0	0	3	0	29	4	8	39	0	0	0	52	2	0	0	13	9	15	149	11	66
ASV_329	0	0	0	0	7	0	0	0	13	56	0	7	0	22	0	33	0	0	5	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	25	10	0	0	11	10	23	144	0	17	0	77	6	14	0	0	0	15	12	0	4	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_330	0	0	0	0	0	0	3	0	0	22	0	11	0	0	0	44	0	4	0	0	356	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	41	0	27	1	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_331	23	107	76	0	0	24	40	15	0	5	0	0	35	0	13	0	0	68	0	0	7	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	16	8	37	0	0	0	0	34	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_332	0	0	0	0	0	0	0	52	0	0	42	22	0	0	0	0	0	12	3	52	78	78	0	3	34	0	6	96	0	0	0	0	0	9	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	14	9	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_333	0	0	0	3	0	0	0	5	0	0	27	0	11	0	0	13	0	18	8	0	36	0	58	20	14	0	0	0	0	0	0	0	0	4	3	0	0	0	12	8	0	0	9	5	0	0	0	0	9	33	0	0	19	0	14	23	0	0	0	10	0	18	0	20	24	111	11	0	0	3	0	7	0	0	0	0	0	0	0	5	0	12	0	0
ASV_334	0	0	0	0	0	0	11	0	0	0	40	0	3	14	0	57	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	30	64	111	10	24	0	11	22	0	0	1	50	0	0	0	0	0	8	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0
ASV_335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	31	0	19	0	0	0	0	0	0	0	0	0	101	0	37	0	192	0	0	49
ASV_336	113	32	5	30	0	0	7	19	0	4	0	2	54	0	30	0	15	27	0	0	0	0	0	0	0	0	0	0	4	0	0	0	46	17	0	0	0	1	0	4	0	0	0	0	0	0	0	0	21	0	3	5	0	5	53	0	9	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0
ASV_337	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	58	0	0	62	117	6	0	12	0	14	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	44	72	3	0	15	0	0	0	10	7	0	38	0	12
ASV_338	0	0	0	0	13	0	0	0	0	4	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	214	120	0	0	48	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_339	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	31	40	0	0	0	0	0	0	0	4	0	13	0	0	0	0	0	0	34	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_340	0	0	0	0	0	0	0	0	28	0	157	0	0	0	0	0	70	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	46	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_341	0	0	0	0	0	0	0	0	0	52	0	20	52	0	9	0	0	0	12	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	68	0	85	0	61	49	59	1	0	0	0	21	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_342	0	0	0	0	0	69	0	28	0	0	0	0	22	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	228	6	0	0	0	13	0	35	0	0	0	0	0	0	0	0	0	52	0	0	0	0	32	0	6	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_343	0	0	0	93	5	0	128	0	0	0	0	0	4	0	45	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	12	0	0	85	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	10	0	0	0	26	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_344	0	0	0	0	0	0	0	0	0	7	9	11	17	0	0	25	0	23	0	0	35	0	0	0	0	22	0	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	35	0	0	26	55	28	12	0	20	0	15	0	0	24	0	10	2	0	14	5	81	0	10	2	2	0	9	9	9	4	0	0	0	0	0
ASV_345	0	0	0	0	16	0	0	0	0	18	0	0	0	0	0	14	0	3	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	24	16	0	12	79	9	0	22	0	96	0	22	0	0	0	0	0	6	8	6	19	2	15	3	1	2	2	38	0	0	34	0	0	0	7	0	0	20	1	0
ASV_346	0	0	4	9	0	0	0	0	0	0	16	0	5	0	0	0	0	0	0	0	149	4	31	0	0	75	0	12	0	0	0	0	0	25	0	7	2	13	6	37	6	7	0	14	12	0	0	0	0	0	0	0	23	16	4	0	0	16	0	0	0	10	0	0	18	0	0	0	0	14	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_347	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	25	0	0	0	0	19	0	0	0	0	0	23	0	50	3	251	70	0	0	0	0	0	39	0	3	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	4	0	0	0	0
ASV_348	0	0	18	53	0	0	0	0	6	0	11	0	3	0	0	14	11	0	0	7	68	0	11	18	25	64	0	0	0	0	1	0	30	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	3	0	15	15	0	17	0	0	9	0	3	0	21	0	0	0	0	23	0	14	4	5	0	0	20	4	0	0	0	4	0	0	0	0
ASV_349	0	0	15	0	0	0	11	0	1	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	3	0	0	200	0	47	0	31	0	0	0	0	0	0	0	0	0	63	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_350	0	51	29	26	0	103	0	0	0	0	0	0	3	0	12	114	6	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	6	5	0	0	0	4	0	0	0	0	0	0	0	12	50	0	0	0	0	0	58	4	17	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_351	0	0	0	0	0	0	5	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	40	0	0	0	0	0	0	0	0	0	16	0	0	0	0	9	0	204	0	0	0	0	6	0	0	0	0	0	4	0	0	0	39	0	0	0	0	0	19	144	0	0	0	0	0	0	0	0	0	13	0	0
ASV_352	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	5	139	77	0	30	0	45	73	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	0	0	5	24	0	0	0	0	15	0	0	21	0	8	0	0	0	0	0	0	0	0	0	0
ASV_353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	19	22	54	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_354	101	21	45	94	0	19	57	11	0	0	0	6	0	0	14	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	13	0	11	6	0	0	0	0	0	15	0	6	0	0	0	0	24	0	0	4	23	0	5	9	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_355	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	37	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_356	0	0	0	0	0	0	41	30	0	48	0	48	12	22	0	0	11	0	0	0	91	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	8	0	0	0	0	4	0	34	0	0	13	0	0	43	0	0	0	0	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_357	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0	11	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	288	0	22	0	0	0	3	7	7	0	24	30	16	22	32	7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	66	0	0	0	0	0	0	0	0	0	0	0	74	0	0	3	0	5	230	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	6	42	0	0	0	9	0	0	0	0
ASV_359	0	0	1	0	0	0	8	21	4	10	3	0	6	0	0	20	0	28	0	0	0	0	0	11	14	7	0	6	22	19	48	12	19	0	0	0	0	2	0	0	0	6	11	0	0	0	0	0	57	7	0	0	14	31	0	17	0	0	0	8	0	0	0	9	2	0	0	0	24	0	12	0	2	5	0	12	5	1	0	0	0	14	0	0
ASV_360	0	0	0	0	0	0	25	17	0	0	9	0	0	6	0	0	7	0	0	0	11	7	0	311	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5	24	9	0	0	4	27	4	1	0	0	0	0	0	0	0	0	5	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_361	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	21	0	0	100	0	0	15	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	15	114	14	0	104	0	10	0	0	5	0	21	0	0
ASV_362	0	50	39	28	0	0	0	0	0	6	0	19	0	0	0	0	0	0	0	0	22	0	68	0	0	0	0	0	16	18	25	0	38	44	0	5	0	21	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
ASV_363	0	17	0	39	26	15	20	0	0	0	12	7	0	0	0	16	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	1	22	0	0	0	0	12	0	18	0	5	40	13	35	34	0	0	0	0	0	0	0	16	0	0	0	0	13	0	6	0	36	0	35	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	24	0	4
ASV_364	0	13	15	9	0	0	4	37	2	0	20	0	9	0	0	0	13	0	0	0	10	0	0	0	0	101	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	5	0	0	0	0	128	5	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_365	0	0	0	0	0	0	4	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	109	0	0	0	0	0	14	12	13	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	46	0	0	0	0	13	20	54	15	0	24	1	0	3	11	0	7	82	3	0
ASV_366	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	76	203	52	0	41	26	0	0	8	49	0	0	0	0
