"All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads."																																																																																						
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_1B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_1B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_2B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_1B_NO20	MP_E272_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_1B_NO20	MP_E52_1B_DY20	MP_E258_1B_NO20	MP_E54_1B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_1B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_1B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_1B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_1B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_1B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_2B_NO20	MP_E259_1B_NO20	MP_E53_1B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_1B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Porosporidae;Thiriotia;NA	Thiriotia										0.06																																																																											
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Porosporidae;Thiriotia;Thiriotia sp_ MS_2015	Thiriotia sp_ MS_2015	0.05							0.01	0.14		0.88						0.23																															0.02				0.11		0.65		0.14		0.34		0.32			0.04																						
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Uradiophoridae;Heliospora;Heliospora caprellae	Heliospora caprellae																																																									0.06																												
Eukaryota;Apicomplexa;NA;NA;NA;NA;NA	Apicomplexa		0.15	0.25	0.15		0.4	0.06		0.28						0.3	0.21					0.04									0.09	0.07			0.43	0.44	0.16	0.12	0.11	0.11	0.32	0.15	0.2	0.09	0.26						2.9		0.33	0.19		1.71			0.16							0.33					1.68	0.49													0.98	
	<<<Apusomonadida__c__p>>>																																																																																					
Eukaryota;Apusomonadida__c__p;Apusomonadida__c;Apusomonadida;NA;NA;NA	Apusomonadida																	0.02	0.6																0.03			0.02	0.04																0.08		0.23					0.33																								
Eukaryota;Apusomonadida__c__p;Apusomonadida__c;NA;NA;NA;NA	Apusomonadida__c															0.05																																																																						
	"<<<Arthropoda, Hexanauplia>>>"																																																																																					
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Oithonidae;Oithona;NA	Oithona																																				0.06																																																	
	"<<<Arthropoda, Malacostraca>>>"																																																																																					
Eukaryota;Arthropoda;Malacostraca;Cumacea;Bodotriidae;Cyclaspis;Cyclaspis longicaudata	Cyclaspis longicaudata	0.15	0.06	0.07																					0.12											0.08					0.2				0.24	0.14	0.28																				0.21											0.1			0.04					
	<<<Bacillariophyta>>>																																																																																					
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium	Cylindrotheca closterium																0.51		0.03												3.43	3.21	4.86	1.1	4.12	1.08	1.56	0.03		3.23		0.89		0.07	0.8		0.48	0.08					0.26	0.06		1.28		0.04	0.21			0.4	0.14		0.12	0.53			0.31				7.8	8.7	16.68	11.42	7.38	6.47	5.69	4.82	2.33	7.72	4.19	3.86	1.6	0.56
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis cylindrus	Fragilariopsis cylindrus							0.11	0.19	0.26	0.09		0.21				0.13	0.05							0.02						0.2	0.04	0.28	0.11	0.15	0.15	0.06		0.04	0.44		0.1				0.86	0.55	0.48		0.76	2.32	0.08	0.41	0.05		0.91									0.06		0.12		0.1	0.24			0.61	0.28	0.14	0.24	0.1	0.1	0.15		0.09	0.33	0.08	0.22		0.36
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;NA;NA	Bacillariaceae				0.26	0.38	0.19	0.55	0.11	0.17	1.06	0.23	0.34		0.5	0.52	0.19	0.66					0.2	0.01		0.03	0.64		0.31																0.07		0.41	0.16	0.19		2.9		0.11	0.71	0.2	2.48		0.46	0.78	0.74	0.09			0.02				0.27	0.62																	
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia supralitorea	Nitzschia supralitorea									0.11			0.04																		0.07	0.17			0.13					0.07														0.02		0.34																		0.03												
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo_nitzschia;NA	Pseudo_nitzschia				0.05			6.1			8.18	0.49	0.19	1.3		0.33	1.51	0.22	3.18	12.92	1.44	0.02	0.38		0.28			0.15		0.82			0.16												0.54			0.28			3.83	1.42	0.22	6.99	0.61	6.22	1.85	2.89	0.13		0.36	3.04	6.52	1.76	1.4		0.58			1.3	0.24	0.87		0.33	0.06	0.4			0.15		0.13		0.16			0.36
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo_nitzschia;Pseudo_nitzschia multiseries	Pseudo_nitzschia multiseries																			0.89																																											0.36																							
Eukaryota;Bacillariophyta;Bacillariophyceae;Cymbellales;Gomphonemataceae;NA;NA	Gomphonemataceae																																																																								0.43													
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;NA;NA;NA	Naviculales							0.61	0.14	0.71	0.36	1.07	0.45	0.06	4.46		1.4	0.23		0.44	3.16	0.04	0.09			0.03				0.24																	0.14			0.15		0.35	0.63	0.58	0.2	0.63		0.88		5.93	0.95		0.16	1.87		0.92		2.56	1.45																	
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Pleurosigmataceae;NA;NA	Pleurosigmataceae																													0.08																																																								
