"All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads."																																																																																						
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_1B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_1B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_2B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_1B_NO20	MP_E272_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_1B_NO20	MP_E52_1B_DY20	MP_E258_1B_NO20	MP_E54_1B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_1B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_1B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_1B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_1B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_1B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_2B_NO20	MP_E259_1B_NO20	MP_E53_1B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_1B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;NA;NA	Thalassiosiraceae			0.05	0.17		0.01	0.58	0.09	0.06	0.1		0.73	0.03	0.03		0.19		0.09		0.05	0.17	0.01	0.02				0.23		0.48	0.07				0.13	1.47	0.35	0.08		0.18	0.22	0.45	0.15	0.16			0.14			0.69		0.51	0.3	0.04		0.6	0.23	1.31	0.03			0.14	0.02				0.03		0.21	0.12								0.5	0.07				0.32	0.11	0.25	0.24
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;NA	Thalassiosira										0.11																																									0.08		0.14																																
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira nordenskioeldii	Thalassiosira nordenskioeldii			0.1					0.09		0.61	0.1	0.23	1.07			0.28		0.09	0.89	0.3	0.02								0.74							0.35									1.43	2.49	0.12		0.23	0.23	2.16		0.95	0.08	1.11	2.93	1			0.41	0.72	0.56				0.28	0.67				0.05						0.5			0.09	0.04				
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira pseudonana	Thalassiosira pseudonana									0.94		0.16																																		0.72		0.32		4.2	3.71	0.08	0.74		0.04		0.59	0.08			0.45												0.69	0.08	0.19	0.03		0.02				0.33	0.79	1.66		
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira rotula	Thalassiosira rotula										0.02										0.11																																					0.06						0.09	0.23				0.21																	
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira sp_	Thalassiosira sp_																																																									0.88																												
Eukaryota;Bacillariophyta;Fragilariophyceae;NA;NA;NA;NA	Fragilariophyceae	1	1.09	1.3	1.33		0.2	0.13	0.19	0.4	1.44		0.73		0.73	0.16	0.49	0.3					0.7	0.08	0.16	0.02		1.32		0.53					0.08	0.1		0.38	0.16	0.05	0.07		0.39	0.34					1.4			0.08	0.41	1.11	0.08			0.21	0.42	0.52	0.18			0.07						0.06		1.58						0.13								
Eukaryota;Bacillariophyta;Fragilariophyceae;Rhaponeidales;Rhaphoneidaceae;Delphineis;Delphineis sp_ CCMP1095	Delphineis sp_ CCMP1095													1.17																																																																								
Eukaryota;Bacillariophyta;Fragilariophyceae;Thalassionemales;Thalassionemataceae;Thalassionema;Thalassionema sp_ CCMP1100	Thalassionema sp_ CCMP1100					0.19		2.8	0.6	6.11	2.63	4.1	2.26	1.3	17.81	0.84	13.72	1.83	1.32	2.29	13.63	0.06	0.34					0.21		1.96						0.01									0.09	0.43	0.76	0.2			0.35	5.26	7.82	3.94	4.29	4.99	1.9	4.6	0.42	24.78	8.09	1.38	3.13	13.58	2.52	10.58	0.15	30.09	9.81	1.3	1.8	1.36														
Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus polymorphus	Minutocellus polymorphus	0.03	0.52		0.48		0.11	0.11	0.48		0.48		1.45	0.16	0.43		0.43	0.45	0.06	0.08		0.17	1.18	0.05	0.7	0.02		1.04		1.03		0.06	0.04			0.17				0.02		0.29		0.05		0.43			0.05	0.46		0.24	0.19	0.36		0.51		0.47	0.39	0.38					0.35		0.4			0.12						0.08			0.15							
Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus sp_ RCC703	Minutocellus sp_ RCC703																																			0.01																																																		
Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;NA;NA	Cymatosiraceae	0.1	0.24	0.3	0.18		0.42	0.52	0.88		0.21			0.26	0.5	0.52		0.22	0.06									0.03																					0.39				0.48							0.95	0.18	0.14		0.06																						
Eukaryota;Bacillariophyta;Mediophyceae;Eupodiscales;Odontellaceae;NA;NA	Odontellaceae																					0.06																															0.07																																	
Eukaryota;Bacillariophyta;Mediophyceae;Hemiaulales;Hemiaulaceae;Eucampia;Eucampia zodiacus	Eucampia zodiacus									0.2					0.08		0.19						0.03																								0.35			0.23				0.29				0.15		0.01				0.09	0.12		0.03			0.06			0.56													
Eukaryota;Bacillariophyta;Mediophyceae;Hemiaulales;NA;NA;NA	Hemiaulales									0.43		0.36	0.29		0.09		0.51	0.48		2.94	1.85	0.02	0.23	0.17	0.02				0.07	0.03	0.16	0.15	0.32	0.08	0.25		0.32	0.58	0.29	0.15	0.37	0.23	0.54	0.37	0.76			0.4				1.82	0.11	0.13	0.04	0.11		0.14			0.59		3.84	1.62	0.64		0.06											0.17			0.04	0.21		0.44	0.37	0.16
Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;Ditylum;Ditylum brightwellii	Ditylum brightwellii																		1.1																																																																			
Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;NA;NA	Lithodesmiaceae																		0.35																												0.07															0.11	0.11																							
Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;NA;NA;NA	Lithodesmiales			0.02				0.85		0.06	0.39	0.26	0.08	0.03	0.44		0.68		0.22	0.6	0.25	2.51		1.62	0.23						0.56	0.2	0.31	1.88	1.57	1	0.8	0.26	0.24	0.57	0.22	2.14	0.26	0.46	0.07				0.03			0.56	0.11	0.33		0.66	0.23	0.29		0.36		0.14	0.62	0.53	0.06		0.52		0.1						0.44	2.67	0.31	0.79	0.74	0.4	0.04	0.29				0.08
Eukaryota;Bacillariophyta;Mediophyceae;NA;NA;NA;NA	Mediophyceae	0.05			0.13		0.07				0.02		0.01	0.1		0.08						0.28	1.36	0.35			0.06	2.73		1.83												0.07						0.08				0.03																		0.35	0.6							0.04								0.08
Eukaryota;Bacillariophyta;NA;NA;NA;NA;NA	Bacillariophyta										0.12	0.33	0.04	4.15		0.05	0.62		2.99	1.01	0.16									0.1	0.7	0.38	0.57	0.11	0.78	0.03				0.36					0.73	1.57	0.9	1.2		2.6		0.32	0.26	0.21		0.14	3.97	0.01	0.16		0.36	4.49	2.34	0.53	0.53	0.59				0.41	5.04	0.05	0.17	0.28		0.35			0.22			0.17	0.08	0.33		0.04
	<<<Bigyra__p>>>																																																																																					
Eukaryota;Bigyra__p;Bigyra;NA;NA;NA;NA	Bigyra	0.05	0.21	0.15	0.07		0.1	0.04		0.17			0.01																																			0.08	0.16						0.12				0.1																									0.11		
Eukaryota;Bigyra__p;Bigyra;Thraustochytrida;NA;NA;NA	Thraustochytrida									0.09																																																																												
Eukaryota;Bigyra__p;Bigyra;Thraustochytrida;Thraustochytriaceae;Labyrinthulochytrium;Labyrinthulochytrium arktikum	Labyrinthulochytrium arktikum	0.03		0.05	0.05																											0.04																0.04	0.02																																					
	<<<Bolidophyceae__p>>>																																																																																					
Eukaryota;Bolidophyceae__p;Bolidophyceae;NA;NA;NA;NA	Bolidophyceae						0.07						0.05												0.05					0.03	0.38	0.25	0.16	0.21	1.72	2.44	0.32	1.25	1.29	1.38	0.12	0.63	0.74	1.09								0.05						0.01				0.11											0.17			2.91	1.59	0.35			0.13		0.16			0.32
Eukaryota;Bolidophyceae__p;Bolidophyceae;Parmales;Triparmaceae;Bolidomonas;Bolidomonas mediterranea	Bolidomonas mediterranea				0.08	1.14	0.03				0.15	0.13	0.01	0.23		0.19	0.06		0.22			5.36	2.96	3.02	0.23	0.03	0.09	3.56	0.31	2.69	0.05	0.43	0.37	0.11	0.03	1.7	2.55	0.2	0.22	0.36	0.72	2.29	0.48	0.41			0.14						0.19			0.23		0.01	0.42				0.38	0.14	0.12	0.99			0.41		2.16		0.04		0.14	0.37	0.21	0.58	1.26	0.87	0.66	0.21	0.16		0.61	0.04
Eukaryota;Bolidophyceae__p;Bolidophyceae;Parmales;Triparmaceae;NA;NA	Triparmaceae																																																																				0.21							0.45										
Eukaryota;Bolidophyceae__p;Bolidophyceae;Parmales;Triparmaceae;Triparma;Triparma strigata	Triparma strigata	0.28	0.94	0.7	0.78		0.36	0.23	0.77		0.49		0.1	0.13	0.23	0.14	0.57	0.32				0.13	0.15			0.54	0.34	0.2	0.03							0.05	0.03			0.07	0.3			0.06			0.14		0.4		2.44	0.48	0.37	0.48		0.66	0.14	0.31	0.08	0.18	0.05									0.41	0.24			0.1								0.04				
	<<<Cercozoa>>>																																																																																					
Eukaryota;Cercozoa;Cercomonadida__c;Cercomonadida;Heteromitidae;Heteromita;Heteromita globosa	Heteromita globosa																																																0.05																																					
Eukaryota;Cercozoa;Chlorarachniophyceae;Bigelowiella__f__o;NA;NA;NA	Bigelowiella__f__o																																																																	0.79										0.43										
Eukaryota;Cercozoa;Clautriavia__f__o__c;Clautriavia__f__o;Clautriavia__f;NA;NA	Clautriavia__f								0.84				0.48	0.32					0.13																																																																			
Eukaryota;Cercozoa;Imbricatea;NA;NA;NA;NA	Imbricatea																													0.05																																																								
Eukaryota;Cercozoa;NA;NA;NA;NA;NA	Cercozoa																																															0.08				0.05																																		
	<<<Chlorophyta>>>																																																																																					
Eukaryota;Chlorophyta;Chlorophyceae;NA;NA;NA;NA	Chlorophyceae																											0.1																																																										
Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastix;Dolichomastix tenuilepis	Dolichomastix tenuilepis																																		0.2																																																			
Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastix;NA	Dolichomastix																													0.02						0.15				0.23									0.02																																					
Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;Microrhizoidea__f;NA;NA	Microrhizoidea__f		0.18	0.12				0.2								0.14														0.03						0.04			0.04		0.02												0.11		0.04				0.13	0.04																										
Eukaryota;Chlorophyta;Mamiellophyceae;Dolichomastigales;NA;NA;NA	Dolichomastigales	0.15							0.02																															0.29									0.06																																					
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos	Bathycoccus prasinos	20.44	14.54	15.2	9.49	12.19	10.23	1.73	10.15	4.29	0.43	3.68	4.66	4.15	0.2	3.86	0.15	5.77	3.12	1.57	0.39	4.89	5.84	10.26	0.4	1.3	2.96	7.36	5.45	8.52	1.4	0.35	0.17	0.57	7.89	9.65	6.29	8.4	8.24	7.23	9.32	11.92	9.13	8.13	0.87	0.57	1.38	0.4	12.06			5.53	3.37	0.15	4.86	0.86	3.79	0.29	3.95	0.13	8	6.66	5.4	0.81		0.66	0.15	0.54		2.41	8.15	6.15				0.11		4.44	0.81	0.95		0.17			0.49	
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;NA	Ostreococcus								0.84				0.19	1.36				0.05	1.1	0.89	0.23	1.43	0.67	1.84	0.07	0.45	0.39	2.31	8.69	1						0.14	0.51	0.27		0.16	1.86		0.42	0.27													1.26				0.14	1.59	2.05	0.09							1.56															
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus sp_	Ostreococcus sp_													0.1															0.03							0.01				0.03	0.25		0.11	0.05																			0.04	0.02							0.24								0.07							
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus sp_ _lucimarinus_	Ostreococcus sp_ _lucimarinus_													0.65						1.93		1.73	0.48	2.01		0.83	0.28	0.94	1.06	0.24																																	1.18	0.32		0.33					1.08															
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mamiella;Mamiella gilva	Mamiella gilva				0.01		0.02		0.35		0.15		0.12		0.06	0.19		0.38										0.31		0.21	0.29	0.17	0.15			0.25		0.04		0.31		0.45		0.08									0.22	0.08	0.57				0.23	0.06	0.36	0.33										0.27														
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla	Micromonas pusilla		1.91	1.35	2.29	6.86	0.54	1.38	2.41	0.6	1.77	0.46	2.02	0.84	0.76	0.54	1.57	1.61	0.16	0.4		0.91	1.48	1.92	17.55	1.3	0.95	1.48	3.03	1.67	3.45	4.11	3.38	0.8	4.1	6.63	5.49	3.1	4.79	4.51	6.72	9.6	6.17	6.33	1.37	5.15	2.83	1.6	1.03	4.58	1.51	2.94	1.45	1.56		2.03		0.83	1.14	0.71	1.22		0.47	0.44	0.82	0.59	8.38			6.07		5.07	1.73	3.83	4.63	0.29	5.28	5.32	2.07	2.61	0.97	4.85		1.99	0.86	0.56
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;NA	Micromonas	14.38	11.41	6.66	9.89		9.61	4.23	15.57	9.74	3.06	3.03	5.73	6	1.92	7.86	1.77	15.1	5.45	1.45	0.73	10.4	12.18	15.65	5.84	7.63	5.3	14.94	24.05	8.94	2.25	0.69	0.45	1.99	8.8	13.82	8.17	3.98	7.75	9.3	18.5	10.84	12.79	13.95	0.64			0.24	6.22		0.35	6.71	6.71	2.41	2.08	4.59	5.82	2.15	11.1	1.88	8.31	7.75	4.04	0.52		1.71	2.67			12.84	13.31	13.4						6.26	0.07	0.24	0.31				0.98	
Eukaryota;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidaceae;Nephroselmis;Nephroselmis pyriformis	Nephroselmis pyriformis						0.01			0.17						0.11		0.05	0.47											0.29				0.03	0.18	0.65	0.54			0.21	0.84	0.38	0.14									0.35				0.03				0.03		0.33																								
Eukaryota;Chlorophyta;Palmophyllophyceae;NA;NA;NA;NA	Palmophyllophyceae																										0.11																													0.14																														
Eukaryota;Chlorophyta;Pyramimonadophyceae;NA;NA;NA;NA	Pyramimonadophyceae		0.09		0.15		0.15		0.05	0.17			0.1			0.11		0.11					0.04		0.09			0.2		0.26						0.2			0.02	0.03		0.24												0.06					0.34																			0.04								
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;NA;NA;NA	Pyramimonadales							0.3	0.08		0.38		0.19	0.29	0.08			0.04	1.35	0.16			0.08		0.52			0.31		0.35						0.22	0.29	0.12	0.18	0.07		0.74	0.17	0.35										0.15			0.18					1.3		0.01														0.02								
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;NA;NA	Pyramimonadaceae								0.02																																																																													
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas parkeae	Pyramimonas parkeae		0.12				0.05	0.13	1.14		0.12	0.29	0.58			0.14		0.25	0.06					0.03				0.96	0.05	0.5						0.04						0.25		0.02													0.14	0.04	0.21	0.04		0.25								0.18		0.27														
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas sp_ F922	Pyramimonas sp_ F922		0.03					1.21	0.38		0.81	0.07	0.55	1.49	0.47		0.13		3.49	0.12				0.09	0.98			0.44		1.21					0.38	0.79	0.45	0.35	0.93	0.1	0.45	1.66	0.62	0.77										0.32	0.08		0.63			0.19		3.29																								
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas sp_ F923	Pyramimonas sp_ F923				0.73			0.32	0.43	1.02	0.15		0.22		0.04	0.65		0.39							0.09			0.77		0.6					0.23	0.48						0.51		0.05					0.34				0.3	0.05					1.04																											
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas sp_ RCC1987	Pyramimonas sp_ RCC1987																																											0.04													0.18					0.11	0.05																							
Eukaryota;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas sp_ RCC2500	Pyramimonas sp_ RCC2500			0.25	0.03		0.16	0.56	4.09	0.45	0.28	1.04	2.1		0.29	0.65	0.43	1.17	0.47			0.2	1.74	0.09	0.09	0.16	0.09	3.1	0.18	2.07		0.1	0.35	0.14	0.2		0.51	0.1	0.22	0.2	0.35	0.47	0.14	0.07				0.04	0.11				0.19	0.31	1.72	0.06	0.59	0.1	0.68	0.17	0.9	0.58		0.02								2.78														
Eukaryota;Chlorophyta;Trebouxiophyceae;Picochlorum__f__o;NA;NA;NA	Picochlorum__f__o			0.3						0.09						0.24							0.31							0.16					0.05					0.47																						0.36																								
Eukaryota;Chlorophyta;Trebouxiophyceae;Picochlorum__f__o;Picochlorum__f;Picochlorum;NA	Picochlorum	0.4	0.79	0.42	1.33		0.06		0.99	0.2			0.26	0.62		0.57		0.16	0.16			0.06	0.17	0.26				1.83		0.84				0.02	0.1					0.41	0.05								0.42			0.19					1.49		0.91			0.11	0.29		0.47				0.21	0.65	0.84											0.08				
Eukaryota;Chlorophyta;Ulvophyceae;Bryopsidales;NA;NA;NA	Bryopsidales						0.04																																																																															
	<<<Choanoflagellata__p>>>																																																																																					
Eukaryota;Choanoflagellata__p;Choanoflagellata;Acanthoecida;NA;NA;NA	Acanthoecida	1.23		1.1	0.38			0.01															0.12																										0.88																																					
Eukaryota;Choanoflagellata__p;Choanoflagellata;Acanthoecida;Stephanoecidae;Calliacantha;NA	Calliacantha																																																					0.04																																
	"<<<Chordata, Appendicularia>>>"																																																																																					
Eukaryota;Chordata;Appendicularia;Copelata;Oikopleuridae;Oikopleura;Oikopleura vanhoeffeni	Oikopleura vanhoeffeni																																				0.1																																																	
	<<<Chrysophyceae__p>>>																																																																																					
Eukaryota;Chrysophyceae__p;Chrysophyceae;Chromulinales;Chromulinaceae;NA;NA	Chromulinaceae	2.35	1.76	1.17	1.87		1.81		0.25	0.03		0.2		0.03				0.09							0.21			0.15				0.13		0.05	1.19	0.27	0.32		0.09	0.33	0.27	0.17	0.11	0.2	0.07				1.25			0.32			0.25		0.32		0.03	0.02	0.27	0.22		0.05			0.25		0.21	0.12				0.05												
Eukaryota;Chrysophyceae__p;Chrysophyceae;Chromulinales;Dinobryaceae;Epipyxis;Epipyxis sp_ PR26KG	Epipyxis sp_ PR26KG																														3.74	4.28	3.78	0.08	0.78	0.25	0.16			2.39		0.45	0.03																														0.61	0.44		0.03	0.21			0.08						
Eukaryota;Chrysophyceae__p;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas;NA	Paraphysomonas												0.01																																																																									
Eukaryota;Chrysophyceae__p;Chrysophyceae;Chrysosphaerales;NA;NA;NA	Chrysosphaerales																0.06																																																																					
Eukaryota;Chrysophyceae__p;Chrysophyceae;NA;NA;NA;NA	Chrysophyceae	0.2	0.15		0.17		0.03		0.04					0.06											0.23		0.04				0.07				0.18	0.15			0.04	0.07	0.07	0.03	0.03						0.06			0.11				0.06	0.05					0.11			1.05						0.36		0.04			0.05	0.05				0.13					0.04
	<<<Ciliophora>>>																																																																																					
Eukaryota;Ciliophora;Cryptocaryon__f__o__c;Cryptocaryon__f__o;Cryptocaryon__f;Cryptocaryon;NA	Cryptocaryon																																																0.24																									0.03												
Eukaryota;Ciliophora;Heterotrichea;NA;NA;NA;NA	Heterotrichea						0.03																																																																															
Eukaryota;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium rubrum	Mesodinium rubrum				0.07		0.03		0.05				0.15	0.55					0.25						0.07						0.5	0.21	0.13		0.1	0.39	0.51	0.04	0.11	0.18	0.12	0.34										0.19					0.86					0.25	0.09				0.12							0.64			0.97	0.12	0.37		0.04	0.37	0.4			
Eukaryota;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;NA	Mesodinium			0.1	0.08		0.07	0.01	0.2				0.3	1.23					1.95	0.52	0.07							0.21		0.64	1.51	1.53	0.65	8.86	1.34	0.52	1.05	1.37	0.93	2.33	0.57	0.68	0.47	0.21				0.2	0.1			0.13				0.14	1.44					0.4	0.04	0.01			0.58							0.31		0.7	0.26	0.19								
Eukaryota;Ciliophora;Litostomatea;Haptorida;Actinobolinidae;Legendrea;NA	Legendrea																																0.03																																																					
Eukaryota;Ciliophora;Litostomatea;Haptorida;Didiniidae;Monodinium;Monodinium sp_ HCB_2005	Monodinium sp_ HCB_2005						0.08									0.19																	0.07				0.03					0.2				1	0.48	1.04			0.12	0.24							0.26														0.61	0.59		0.05	0.05					0.29				
Eukaryota;Ciliophora;Litostomatea;Haptorida;Didiniidae;NA;NA	Didiniidae													0.81					1.2																																						0.27					0.04																								
Eukaryota;Ciliophora;Litostomatea;Haptorida;Lacrymariidae;Phialina;Phialina caudata	Phialina caudata																																																																																	0.12				
Eukaryota;Ciliophora;Litostomatea;Pleurostomatida;Litonotidae;Loxophyllum;Loxophyllum perihoplophorum	Loxophyllum perihoplophorum		0.09		0.1												0.26														0.07	0.15	0.07			0.06	0.35	0.17		0.2		0.18	0.08	0.11					0.03				0.26			0.26			0.05						0.12	3.48		3.24			0.24								0.07						0.86	0.2
Eukaryota;Ciliophora;Litostomatea;Vestibuliferida;Balantidiidae;Balantioides;NA	Balantioides																																																												0.27											0.27														
Eukaryota;Ciliophora;NA;NA;NA;NA;NA	Ciliophora	0.9		0.37	0.1	2.86	2.95	1.66	0.6	1.05	0.47	2.18	2	1.46		2.12	6.76	1.18	1.64		0.66	2.23	0.58	0.25	1.17	2.16	3.14	0.51	20.4	0.71	2.84	3.65	4.19	4.69	2.58	2.16	2.39	1.53	2.34	2.43	2.6	5.6	2.93	3.14	1.16	5.15	7.39	4.49	0.82	2.9	2.55	1.47	3.15	0.67	2.86	0.46	2.62	0.56	0.78	0.03	1.27	0.87	0.4	0.98	4.21	7.95	2.06	1.89	10.85	5.3	7.43	2.56	5.63	5.74	2.49	2.86	5.69	0.73	3.03	1.82	3.95	6.64	11.38	19.76	7	5.24
Eukaryota;Ciliophora;Oligohymenophorea;Apostomatida;Foettingeriidae;Hyalophysa;NA	Hyalophysa																																																										0.03																											
Eukaryota;Ciliophora;Oligohymenophorea;Apostomatida;Foettingeriidae;NA;NA	Foettingeriidae																																															1.28																																						
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Plesiotrichopidae;NA;NA	Plesiotrichopidae																		0.38												0.41	0.67	0.52		0.18		0.19			0.07		0.23								0.08									0.23			0.11														0.53				0.16	0.92	0.17	3.4	2.65	0.61	0.44
Eukaryota;Ciliophora;Phyllopharyngea;Exogenida;Ephelotidae;Ephelota;Ephelota plana	Ephelota plana											0.33										0.2	0.17	0.06	0.23																		0.24																						0.35	0.79	1.32		0.21	0.71								0.1	0.07				4.51	6.73		
Eukaryota;Ciliophora;Phyllopharyngea;Exogenida;Ephelotidae;Ephelota;NA	Ephelota																																																												0.14																									
Eukaryota;Ciliophora;Phyllopharyngea;NA;NA;NA;NA	Phyllopharyngea							0.11																																																																														
Eukaryota;Ciliophora;Prostomatea;NA;NA;NA;NA	Prostomatea													0.13					0.06																																																																			
Eukaryota;Ciliophora;Prostomatea;Prorodontida;Halodinium__f;Halodinium;Halodinium verrucatum	Halodinium verrucatum																																0.08																															0.28			0.18			0.18			0.43	0.23			0.26				0.18					
Eukaryota;Ciliophora;Prostomatea;Prorodontida;Hexasterias__f;Hexasterias;Hexasterias problematica	Hexasterias problematica	0.28																																						0.05										1.15									0.05							0.13								1.11								0.21	0.55			
Eukaryota;Ciliophora;Prostomatea;Prorodontida;Hexasterias__f;NA;NA	Hexasterias__f																																																																	0.66																				
Eukaryota;Ciliophora;Prostomatea;Prorodontida;NA;NA;NA	Prorodontida																																			0.02				0.02																																	0.39	1.06												
Eukaryota;Ciliophora;Prostomatea;Prorodontida;Plagiocampidae;Plagiocampa;Plagiocampa sp_	Plagiocampa sp_																																			0.02						0.03																																				0.02								
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae;Leegaardiella;Leegaardiella sp_	Leegaardiella sp_				0.06				0.27	0.23	0.18	0.29	0.03			0.95	5.34		0.28			3.26	0.74	0.83	1.66	0.43	4.3		0.55		0.36	0.73	1.65	0.73	0.33	1.47	1.02	1	0.93	0.81	4.09	1.79	1.01	2.66	0.92	3.29	1.59	2.81		4.2	10.21	1.15		0.34		1.88	0.5	1	0.68	0.1	0.72	0.4	0.13	0.22	4.27	16.95	3.65	8.1	3.93	3.24	1.44	0.71	0.35	0.51		0.35		0.79	1.85	1.58	0.79	0.21	3.48	7.06	11.67	5.93
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Lynnellidae;Lynnella;Lynnella semiglobulosa	Lynnella semiglobulosa																															0.15				0.07				1.21		0.09															0.45																													
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Parastrombidinopsis;Parastrombidinopsis shimi	Parastrombidinopsis shimi													0.36																																											0.81																													
Eukaryota;Ciliophora;Spirotrichea;Hypotrichia__o;NA;NA;NA	Hypotrichia__o																																0.04																																																					
