sample_name	sample_title	bioproject_accession	organism	collection_date	depth	env_broad_scale	env_local_scale	env_medium	geo_loc_name	lat_lon	alkalinity	alkalinity_method	alkyl_diethers	altitude	aminopept_act	ammonium	atmospheric_data	bac_prod	bac_resp	bacteria_carb_prod	biomass	bishomohopanol	bromide	calcium	carb_nitro_ratio	chem_administration	chloride	chlorophyll	collection_method	conduc	density	diether_lipids	diss_carb_dioxide	diss_hydrogen	diss_inorg_carb	diss_inorg_nitro	diss_inorg_phosp	diss_org_carb	diss_org_nitro	diss_oxygen	down_par	elev	fluor	glucosidase_act	isolation_source	light_intensity	magnesium	mean_frict_vel	mean_peak_frict_vel	misc_param	n_alkanes	neg_cont_type	nitrate	nitrite	nitro	omics_observ_id	org_carb	org_matter	org_nitro	organism_count	oxy_stat_samp	part_org_carb	part_org_nitro	perturbation	petroleum_hydrocarb	ph	phaeopigments	phosphate	phosplipid_fatt_acid	photon_flux	pos_cont_type	potassium	pressure	primary_prod	redox_potential	rel_to_oxygen	salinity	samp_collect_device	samp_mat_process	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	silicate	size_frac	size_frac_low	size_frac_up	sodium	soluble_react_phosp	source_material_id	sulfate	sulfide	suspend_part_matter	temp	tidal_stage	tot_depth_water_col	tot_diss_nitro	tot_inorg_nitro	tot_nitro	tot_part_carb	tot_phosp	turbidity	water_current	description	host	ref_biomaterial
E298_1B_NO20			Environmental Sample	2020-10	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	64.98983333 -169.1415																		71.4 g L-1	CTD Niskin											293.38 umolkg	29.468				CTD collected water																																32.218 ppt	Niskin		1L															5.2261 C												
E300_2B_NO20			Environmental Sample	2020-10	4	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:BeringStraight	65.00066667 -168.2215																		68.7 g L-1	CTD Niskin											274.83 umolkg	235.47				CTD collected water																																30.6 ppt	Niskin		1L															5.9146 C												
E268_1B_NO20			Environmental Sample	2020-10	5	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	66.7075 -168.4																		258.2 g L-1	CTD Niskin											293.05 umolkg	4.1265				CTD collected water																																32.418 ppt	Niskin		1L															3.3789 C												
E266_2B_NO20			Environmental Sample	2020-10	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	67.3315 -168.9048333																		59.7 g L-1	CTD Niskin											292.36 umolkg	37.296				CTD collected water																																30.881 ppt	Niskin		1L															5.0579 C												
E48_1B_DY20			Environmental Sample	2020-10	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	67.6729 -168.9421																		2.3419 g L-1	CTD Niskin											319.978416 umolkg	47.136				CTD collected water																																31.4396 ppt	Niskin		1L															6.5262 C												
E264_1B_NO20			Environmental Sample	2020-09	6	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	67.67071667 -168.9284667																		65 g L-1	CTD Niskin											293.51 umolkg	0.54563				CTD collected water																																31.27 ppt	Niskin		1L															4.9345 C												
E50_1B_DY20			Environmental Sample	2020-10	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	67.89766667 -168.2315																		0.268 g L-1	CTD Niskin											296.69541 umolkg	2.899				CTD collected water																																33.0595 ppt	Niskin		1L															3.3658 C												
E262_1B_NO20			Environmental Sample	2020-09	5	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	67.89861667 -168.2339667																		76.6 g L-1	CTD Niskin											291.06 umolkg	0.84433				CTD collected water																																32.425 ppt	Niskin		1L															4.0122 C												
E260_2B_NO20			Environmental Sample	2020-10	5	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	68.12861667 -167.4959833																		44.4 g L-1	CTD Niskin											295.92 umolkg	23.815				CTD collected water																																32.237 ppt	Niskin		1L															4.3669 C												
E52_1B_DY20			Environmental Sample	2020-10	3	ENVO:01000035	ENVO:01000666	ENVO:00000015	USA:Chuckchi	68.187 -167.2898333																		1.6372 g L-1	CTD Niskin											299.024127 umolkg	0.85509				CTD collected water																																29.1375 ppt	Niskin		1L															8.5864 C												
